Date,Price,Open,High,Low,Vol.,Change %
12/8/2025,"4,286.41","4,221.25","4,330.97","4,220.72",607.17K,1.50%
11/8/2025,"4,223.21","4,249.40","4,362.17","4,167.96",722.66K,-0.64%
10/8/2025,"4,250.57","4,262.32","4,330.90","4,163.35",494.84K,-0.24%
9/8/2025,"4,260.63","4,009.54","4,324.04","4,007.01",691.93K,6.28%
8/8/2025,"4,008.83","3,912.35","4,067.35","3,880.20",723.29K,2.53%
7/8/2025,"3,909.92","3,682.32","3,925.09","3,649.81",631.66K,6.15%
6/8/2025,"3,683.32","3,611.83","3,697.73","3,565.14",365.31K,1.98%
5/8/2025,"3,611.72","3,720.54","3,720.54","3,548.41",489.08K,-2.94%
4/8/2025,"3,720.97","3,499.19","3,734.06","3,491.07",463.36K,6.43%
3/8/2025,"3,496.13","3,393.01","3,521.09","3,357.85",296.35K,3.01%
2/8/2025,"3,393.92","3,487.70","3,536.94","3,375.00",494.19K,-2.70%
1/8/2025,"3,488.21","3,697.93","3,723.94","3,433.63",783.90K,-5.68%
31/7/2025,"3,698.35","3,810.00","3,877.84","3,685.23",516.40K,-2.90%
30/7/2025,"3,809.00","3,794.26","3,834.00","3,682.00",525.08K,0.40%
29/7/2025,"3,793.80","3,799.00","3,885.02","3,717.26",584.48K,-0.08%
28/7/2025,"3,796.91","3,872.19","3,940.94","3,755.35",620.68K,-1.93%
27/7/2025,"3,871.56","3,741.41","3,878.34","3,732.31",457.34K,3.49%
26/7/2025,"3,740.94","3,725.03","3,792.06","3,701.30",407.25K,0.43%
25/7/2025,"3,725.02","3,707.28","3,744.99","3,577.61",764.62K,0.56%
24/7/2025,"3,704.18","3,628.45","3,770.97","3,509.29",749.36K,2.13%
23/7/2025,"3,626.77","3,744.63","3,763.58","3,529.36",800.08K,-3.18%
22/7/2025,"3,745.78","3,762.87","3,798.65","3,620.79",870.13K,-0.42%
21/7/2025,"3,761.49","3,756.70","3,855.88","3,702.32",812.08K,0.11%
20/7/2025,"3,757.45","3,593.74","3,818.70","3,579.14",852.34K,4.60%
19/7/2025,"3,592.05","3,546.93","3,607.68","3,509.99",381.79K,1.31%
18/7/2025,"3,545.60","3,478.49","3,672.84","3,462.76",1.16M,2.10%
17/7/2025,"3,472.80","3,372.80","3,520.81","3,315.34",974.19K,2.91%
16/7/2025,"3,374.50","3,137.89","3,424.00","3,101.16",1.14M,7.51%
15/7/2025,"3,138.83","3,013.61","3,141.62","2,935.09",863.34K,4.15%
14/7/2025,"3,013.62","2,972.44","3,081.61","2,963.35",815.55K,1.40%
